,Company,Security,GICS Sector,GICS Sub-Industry,Founded,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,Date
17,MMM,3M,Industrials,Industrial Conglomerates,1902,138.85,151.72,138.48,150.66,56451600,0,0,2019,6,1,2019/06/01
18,MMM,3M,Industrials,Industrial Conglomerates,1902,152.5,163.16,142.8,151.86,62576900,0,0,2019,7,1,2019/07/01
19,MMM,3M,Industrials,Industrial Conglomerates,1902,151.92,154.43,133.85,140.56,63267800,1.44,0,2019,8,1,2019/08/01
20,MMM,3M,Industrials,Industrial Conglomerates,1902,141.57,151.29,137.94,144.2,51261300,0,0,2019,9,1,2019/09/01
21,MMM,3M,Industrials,Industrial Conglomerates,1902,144.73,149.07,132.08,144.72,67405500,0,0,2019,10,1,2019/10/01
22,MMM,3M,Industrials,Industrial Conglomerates,1902,146.43,155,144.3,148.91,48543100,1.44,0,2019,11,1,2019/11/01
23,MMM,3M,Industrials,Industrial Conglomerates,1902,150.54,158.52,143.96,156.08,56394100,0,0,2019,12,1,2019/12/01
24,MMM,3M,Industrials,Industrial Conglomerates,1902,157.2,161.51,139.99,140.37,70685000,0,0,2020,1,1,2020/01/01
25,MMM,3M,Industrials,Industrial Conglomerates,1902,141.58,146.01,129.14,132.04,76349400,1.47,0,2020,2,1,2020/02/01
26,MMM,3M,Industrials,Industrial Conglomerates,1902,135.11,138.14,101.81,121.87,148771600,0,0,2020,3,1,2020/03/01
27,MMM,3M,Industrials,Industrial Conglomerates,1902,117.84,145.59,116.96,135.62,82315100,0,0,2020,4,1,2020/04/01
